#,Study Title,Lead Author,Year,Link (DOI),Location,Time of year,C. gigas?,OsHV-1 measured?,uvar?,OsHV-1 innoculation method,OsHV-1 metric,OsHV-1 quantity,Monitored water temp?,Reported water temp data?,Water Temp (deg C),Length of water temp data prior to experiment,Length of experiment,Measured Oyster Response?,Oyster Response Metric,Oyster response quantity,Other relevant parameters?,Data to solicit from authors,Include in Meta-analysis?,Notes
8,Crassostrea gigas (Thunberg 1793) cultivation in southern Adriatic Sea (Italy): A one-year monitoring study of the oyster health,Mosca,2021,https://onlinelibrary.wiley.com/doi/epdf/10.1111/are.15139,"southern coast of the Adriatic Sea, Puglia region in Italy",March 2018 - February 2019,Yes,Yes,na,in situ,# oysters tested positive,3/193 (in different months),Yes,Yes,10.8 - 27.8,na,1 year,Yes,Hemocyte Viability,"74.3% in July, 94.8% in December ",na,daily / hourly temperatures,No,only 3/193 oysters had OsHV-1
9,"Crassostrea gigas mortality in France: the usual suspect, a herpes virus, may not be the killer in this polymicrobial opportunistic disease",Petton,2015,https://www.frontiersin.org/articles/10.3389/fmicb.2015.00686/full,"Bay of Brest, France",August - October 2014,Yes,Yes,na,in situ,# OsHV-1 DNA detected in hemolymph,"N/A: ""OsHV-1 DNA detected in the hemolymph of animals that died within the first 24 h (Figure 2) was found to be significantly higher (up to 4 log units) than in the hemolymph of animals that were still alive after 9 days""",Yes,No,> 16,na,2 months,Yes,Mortality,36% after 30 days,na,OsHV-1 DNA quantity in hemolymph & Tempertaure during OsHV-1 outbreak in Bay of Brest (August - October 2014),Yes,SPF oysters were kep in the field
9,"Crassostrea gigas mortality in France: the usual suspect, a herpes virus, may not be the killer in this polymicrobial opportunistic disease",Petton,2015,https://www.frontiersin.org/articles/10.3389/fmicb.2015.00686/full,"Bay of Brest, France",August - October 2014,Yes,Yes,na,cohabitation,# OsHV-1 DNA detected in hemolymph,"N/A: ""OsHV-1 DNA detected in the hemolymph of animals that died within the first 24 h (Figure 2) was found to be significantly higher (up to 4 log units) than in the hemolymph of animals that were still alive after 9 days""",Yes,No,21,na,6 days,Yes,Cumulative Mortality,50% by day 6 in non-SPF oysters,na,OsHV-1 DNA quantity in hemolymph & Tempertaure during OsHV-1 outbreak in Bay of Brest (August - October 2014),Yes,SPF oysters used as control as well
10,"Descriptive epidemiology of mass mortality due to Ostreid herpesvirus-1 (OsHV-1) in commercially farmed Pacific oysters (Crassostrea gigas) in the Hawkesbury River estuary, Australia",Paul-Pont,2014,https://www.sciencedirect.com/science/article/pii/S0044848613006480?via%3Dihub,"Hawkesbury River estuary, Australia",austral summer (January - February 2013),Yes,Yes,na,in situ,na,na,Yes,Yes,> 24 deg C,na,1.5 months,Yes,% mortality,SEE BELOW,"age classes (spat, juveniles, adult), site, cultivation system","OsHV-1 measurements, mortality",Yes,Seawater temps > 24 deg C prior to mass mortality
10,"Descriptive epidemiology of mass mortality due to Ostreid herpesvirus-1 (OsHV-1) in commercially farmed Pacific oysters (Crassostrea gigas) in the Hawkesbury River estuary, Australia",Paul-Pont,2014,https://www.sciencedirect.com/science/article/pii/S0044848613006480?via%3Dihub,"Hawkesbury River estuary, Australia",austral summer (January - February 2013),Yes,Yes,na,in situ,na,na,Yes,Yes,> 24 deg C,na,1.5 months,Yes,% mortality,90-100,Mullet Creek: 30-96mm (baskets),,Yes,
10,"Descriptive epidemiology of mass mortality due to Ostreid herpesvirus-1 (OsHV-1) in commercially farmed Pacific oysters (Crassostrea gigas) in the Hawkesbury River estuary, Australia",Paul-Pont,2014,https://www.sciencedirect.com/science/article/pii/S0044848613006480?via%3Dihub,"Hawkesbury River estuary, Australia",austral summer (January - February 2013),Yes,Yes,na,in situ,na,na,Yes,Yes,> 24 deg C,na,1.5 months,Yes,% mortality,50-70,Mullet Creek: 70-110mm (trays),,Yes,
10,"Descriptive epidemiology of mass mortality due to Ostreid herpesvirus-1 (OsHV-1) in commercially farmed Pacific oysters (Crassostrea gigas) in the Hawkesbury River estuary, Australia",Paul-Pont,2014,https://www.sciencedirect.com/science/article/pii/S0044848613006480?via%3Dihub,"Hawkesbury River estuary, Australia",austral summer (January - February 2013),Yes,Yes,na,in situ,na,na,Yes,Yes,> 24 deg C,na,1.5 months,Yes,% mortality,25-50,Mullet Creek: 130-150 mm (trays),,Yes,
10,"Descriptive epidemiology of mass mortality due to Ostreid herpesvirus-1 (OsHV-1) in commercially farmed Pacific oysters (Crassostrea gigas) in the Hawkesbury River estuary, Australia",Paul-Pont,2014,https://www.sciencedirect.com/science/article/pii/S0044848613006480?via%3Dihub,"Hawkesbury River estuary, Australia",austral summer (January - February 2013),Yes,Yes,na,in situ,na,na,Yes,Yes,> 24 deg C,na,1.5 months,Yes,% mortality,80-100,"Mooney Mooney Creek: 2-90 mm (baskets,trays,tumblers)",,Yes,
10,"Descriptive epidemiology of mass mortality due to Ostreid herpesvirus-1 (OsHV-1) in commercially farmed Pacific oysters (Crassostrea gigas) in the Hawkesbury River estuary, Australia",Paul-Pont,2014,https://www.sciencedirect.com/science/article/pii/S0044848613006480?via%3Dihub,"Hawkesbury River estuary, Australia",austral summer (January - February 2013),Yes,Yes,na,in situ,na,na,Yes,Yes,> 24 deg C,na,1.5 months,Yes,% mortality,60,Mooney Mooney Creek: 70-100mm (trays),,Yes,
10,"Descriptive epidemiology of mass mortality due to Ostreid herpesvirus-1 (OsHV-1) in commercially farmed Pacific oysters (Crassostrea gigas) in the Hawkesbury River estuary, Australia",Paul-Pont,2014,https://www.sciencedirect.com/science/article/pii/S0044848613006480?via%3Dihub,"Hawkesbury River estuary, Australia",austral summer (January - February 2013),Yes,Yes,na,in situ,"viral load, copies / mg",BLOQ - 4.1 × 10^5,Yes,Yes,> 24 deg C,na,1.5 months,Yes,% mortality,90-100,Porto Bay: 30-90mm (baskets),,Yes,
10,"Descriptive epidemiology of mass mortality due to Ostreid herpesvirus-1 (OsHV-1) in commercially farmed Pacific oysters (Crassostrea gigas) in the Hawkesbury River estuary, Australia",Paul-Pont,2014,https://www.sciencedirect.com/science/article/pii/S0044848613006480?via%3Dihub,"Hawkesbury River estuary, Australia",austral summer (January - February 2013),Yes,Yes,na,in situ,"viral load, copies / mg",BLOQ - 4.1 × 10^5,Yes,Yes,> 24 deg C,na,1.5 months,Yes,% mortality,40-70,Porto Bay: 50-90 mm (baskets),,Yes,
10,"Descriptive epidemiology of mass mortality due to Ostreid herpesvirus-1 (OsHV-1) in commercially farmed Pacific oysters (Crassostrea gigas) in the Hawkesbury River estuary, Australia",Paul-Pont,2014,https://www.sciencedirect.com/science/article/pii/S0044848613006480?via%3Dihub,"Hawkesbury River estuary, Australia",austral summer (January - February 2013),Yes,Yes,na,in situ,"viral load, copies / mg",BLOQ - 4.1 × 10^5,Yes,Yes,> 24 deg C,na,1.5 months,Yes,% mortality,60-90,Porto Bay: 50-90 mm (trays),,Yes,
10,"Descriptive epidemiology of mass mortality due to Ostreid herpesvirus-1 (OsHV-1) in commercially farmed Pacific oysters (Crassostrea gigas) in the Hawkesbury River estuary, Australia",Paul-Pont,2014,https://www.sciencedirect.com/science/article/pii/S0044848613006480?via%3Dihub,"Hawkesbury River estuary, Australia",austral summer (January - February 2013),Yes,Yes,na,in situ,"viral load, copies / mg",BLOQ - 4.1 × 10^5,Yes,Yes,> 24 deg C,15 days,1.5 months,Yes,% mortality,20-80,Porto Bay: 90-100mm (trays),,Yes,
11,Detection of Ostreid Herpesvirus 1 (OsHV-1) DNA in seawater by PCR: influence of water parameters in bioassays,Vigneron,2004,http://www.int-res.com/abstracts/dao/v62/n1-2/p35-44/,na,na,Yes,Yes,na,in seawater,"OsHV-1 viral
DNA",pg µl^–1 ,na,na,na,na,na,na,na,na,na,na,No,"measures OsHV-1 in seawater of different temps, but not oysters *at* different temps"
12,"Detection of ostreid herpesvirus 1 microvariant DNA in aquatic invertebrate species, sediment and other samples collected from the Georges River estuary, New South Wales, Australia",Evans,2017,http://www.int-res.com/abstracts/dao/v122/n3/p247-255/,"Woolooware Bay, Georges River estuary, New South Wales, Australia",2011-2012 cohort,Yes,Yes,na,in situ,DNA copies per mg tissue,1.03 × 106± 1.51 × 10^4 - 5.3 × 10^5,na,na,na,na,Year 1 of 4,na,na,na,gill v. mantle tissue viral load,,Maybe,
12,"Detection of ostreid herpesvirus 1 microvariant DNA in aquatic invertebrate species, sediment and other samples collected from the Georges River estuary, New South Wales, Australia",Evans,2017,http://www.int-res.com/abstracts/dao/v122/n3/p247-255/,"Woolooware Bay, Georges River estuary, New South Wales, Australia",2012-2013 cohort,Yes,Yes,na,in situ,DNA copies per mg tissue,1.1 × 10^1 - 1.4 × 10^7,na,na,na,na,Year 2 of 4,na,na,na,gill v. mantle tissue viral load,,Maybe,
12,"Detection of ostreid herpesvirus 1 microvariant DNA in aquatic invertebrate species, sediment and other samples collected from the Georges River estuary, New South Wales, Australia",Evans,2017,http://www.int-res.com/abstracts/dao/v122/n3/p247-255/,"Woolooware Bay, Georges River estuary, New South Wales, Australia",2013-2014 cohort,Yes,Yes,na,in situ,DNA copies per mg tissue,"9.75 × 10^ 4±2.88×10^0 (March 2014), 1.53×10^3±1.95×10^1 (April 2014), 1.65 × 10^1±2.05×10^0 (May 2014)",na,na,na,na,Year 3 of 4,na,na,na,gill v. mantle tissue viral load,,Maybe,
12,"Detection of ostreid herpesvirus 1 microvariant DNA in aquatic invertebrate species, sediment and other samples collected from the Georges River estuary, New South Wales, Australia",Evans,2017,http://www.int-res.com/abstracts/dao/v122/n3/p247-255/,"Woolooware Bay, Georges River estuary, New South Wales, Australia",2014-2015 cohort,Yes,Yes,na,in situ,DNA copies per mg tissue,"3.96 × 10^ 3± 7.35 × 10^1 (January 2015), 2.87 × 10^5± 2.94 × 10^1 (February 2015)",na,na,na,na,Year 4 of 4,na,na,na,gill v. mantle tissue viral load,,Maybe,
13,Development and Assessment of a Sensitive and Cost-Effective Polymerase Chain Reaction to Detect Ostreid Herpesvirus 1 and Variants,Lynch,2013,https://bioone.org/journals/journal-of-shellfish-research/volume-32/issue-3/035.032.0305/Development-and-Assessment-of-a-Sensitive-and-Cost-Effective-Polymerase/10.2983/035.032.0305.short,na,na,Yes,Yes,na,na,viral load,na,na,na,na,na,na,na,na,na,na,na,No,methods paper for PCR Technique
14,Development of a loop-mediated isothermal amplification assay for rapid and sensitive detection of ostreid herpesvirus 1 DNA,Ren,2010,https://www.sciencedirect.com/science/article/abs/pii/S0166093410003071?via%3Dihub,na,na,Yes,Yes,na,na,viral load,na,na,na,na,na,na,na,na,na,na,na,No,methods paper for PCR Technique
15,Development of a loop-mediated isothermal amplification assay for rapid and sensitive detection of ostreid herpesvirus 1 DNA,de Kantzow,2019,https://link.springer.com/article/10.1007/s00705-019-04427-2,University of Sydney,na,Yes,Yes,na,injection,in vivo growth,2.32 × 106 copies/mg (in moribund/dead oysters),Yes,No,18,na,1 week,Yes,"first mortality after 84 hours, no cumulative mortality measurement",,na,na,No,first 12-24 hours important in trajectory of infection / mortality
15,Development of a loop-mediated isothermal amplification assay for rapid and sensitive detection of ostreid herpesvirus 1 DNA,de Kantzow,2019,https://link.springer.com/article/10.1007/s00705-019-04427-2,University of Sydney,na,Yes,Yes,na,injection,in vivo growth,1.96 × 108 copies/mg  (in moribund/dead oysters),Yes,No,22,na,1 week,Yes,100% mortality after 48 hours,,na,na,No,first 12-24 hours important in trajectory of infection / mortality
15,Development of a loop-mediated isothermal amplification assay for rapid and sensitive detection of ostreid herpesvirus 1 DNA,de Kantzow,2019,https://link.springer.com/article/10.1007/s00705-019-04427-2,University of Sydney,na,Yes,Yes,na,injection,peak prevalence - 22 deg C,na,Yes,No,18,na,4 weeks,Yes,Cumulative Mortality due to OsHV-1,45.90%,0-13 days post-infection,Temperature / OsHV-1 data,Yes,
15,Development of a loop-mediated isothermal amplification assay for rapid and sensitive detection of ostreid herpesvirus 1 DNA,de Kantzow,2019,https://link.springer.com/article/10.1007/s00705-019-04427-2,University of Sydney,na,Yes,Yes,na,injection,peak prevalence - 22 deg C,na,Yes,No,18,na,4 weeks,Yes,Cumulative Mortality due to OsHV-1,23.80%,14-28 days post-infection,Temperature / OsHV-1 data,Yes,
15,Development of a loop-mediated isothermal amplification assay for rapid and sensitive detection of ostreid herpesvirus 1 DNA,de Kantzow,2019,https://link.springer.com/article/10.1007/s00705-019-04427-2,University of Sydney,na,Yes,Yes,na,injection,"peak prevalence - 18 deg C, OsHV-1",na,Yes,No,18,na,4 weeks,Yes,Cumulative Mortality due to OsHV-1,2.10%,0-13 days post-infection,Temperature / OsHV-1 data,Yes,
15,Development of a loop-mediated isothermal amplification assay for rapid and sensitive detection of ostreid herpesvirus 1 DNA,de Kantzow,2019,https://link.springer.com/article/10.1007/s00705-019-04427-2,University of Sydney,na,Yes,Yes,na,injection,"peak prevalence - 18 deg C, OsHV-1",na,Yes,No,18,na,4 weeks,Yes,Cumulative Mortality due to OsHV-1,0%,14-28 days post-infection,Temperature / OsHV-1 data,Yes,
15,Development of a loop-mediated isothermal amplification assay for rapid and sensitive detection of ostreid herpesvirus 1 DNA,de Kantzow,2019,https://link.springer.com/article/10.1007/s00705-019-04427-2,University of Sydney,na,Yes,Yes,na,injection,"peak prevalence - 18 deg C w/ increase to 22 deg C, OsHV-1",na,Yes,No,18 --> 22,na,4 weeks,Yes,Cumulative Mortality due to OsHV-1,0%,0-13 days post-infection,Temperature / OsHV-1 data,Yes,
15,Development of a loop-mediated isothermal amplification assay for rapid and sensitive detection of ostreid herpesvirus 1 DNA,de Kantzow,2019,https://link.springer.com/article/10.1007/s00705-019-04427-2,University of Sydney,na,Yes,Yes,na,injection,"peak prevalence - 18 deg C w/ increase to 22 deg C, OsHV-1",na,Yes,No,18 --> 22,na,4 weeks,Yes,Cumulative Mortality due to OsHV-1,0%,14-28 days post-infection,Temperature / OsHV-1 data,Yes,
15,Development of a loop-mediated isothermal amplification assay for rapid and sensitive detection of ostreid herpesvirus 1 DNA,de Kantzow,2019,https://link.springer.com/article/10.1007/s00705-019-04427-2,University of Sydney,na,Yes,Yes,na,injection,"peak prevalence - 18 deg C w/ increase to 22 deg C, neg control",na,Yes,No,22,na,4 weeks,Yes,Cumulative Mortality due to OsHV-1,0%,0-13 days post-infection,Temperature / OsHV-1 data,Yes,
15,Development of a loop-mediated isothermal amplification assay for rapid and sensitive detection of ostreid herpesvirus 1 DNA,de Kantzow,2019,https://link.springer.com/article/10.1007/s00705-019-04427-2,University of Sydney,na,Yes,Yes,na,injection,"peak prevalence - 18 deg C w/ increase to 22 deg C, neg control",na,Yes,No,22,na,4 weeks,Yes,Cumulative Mortality due to OsHV-1,0%,14-28 days post-infection,Temperature / OsHV-1 data,Yes,
16,Differential Mortality and High Viral Load in Naive Pacific Oyster Families Exposed to OsHV-1 Suggests Tolerance Rather than Resistance to Infection,Agnew,2020,https://www.mdpi.com/2076-0817/9/12/1057,University of Arizona Aquaculture Pathology Laboratory ,na,Yes,Yes,na,injection,viral copies,na,Yes,No,20-22,na,1 week,Yes,Mortality,na,na,na,No,
17,"Effect of air exposure, handling stress and imidacloprid on the susceptibility of Crassostrea gigas to Ostreid herpesvirus 1 (OsHV-1)",Oliver,2019,https://www.int-res.com/abstracts/aei/v11/p685-699/,University of Sydney,na,Yes,Yes,na,injection,viral copies,na,Yes,No,22,na,26 days,Yes,Mortality,na,na,na,No,"Pesticide / air exposure study, no temperature; air exposure 24 hrs prior to infection beneficial to juvenile oysters"
18,Effect of water temperature on mortality of Pacific oysters Crassostrea gigas associated with microvariant ostreid herpesvirus 1 (OsHV-1 µVar),de Kantzow,2016,http://www.int-res.com/abstracts/aei/v8/p419-428/,University of Sydney,na,Yes,Yes,Yes,injection,viral copies,BLOQ,Yes,No,14 - 7 days post-challenge,na,2 weeks,Yes,Mortality,0 oysters,apparently healthy oysters,"OsHV-1 data, mortality data & temperature data",Yes,
18,Effect of water temperature on mortality of Pacific oysters Crassostrea gigas associated with microvariant ostreid herpesvirus 1 (OsHV-1 µVar),de Kantzow,2016,http://www.int-res.com/abstracts/aei/v8/p419-428/,University of Sydney,na,Yes,Yes,Yes,injection,viral copies,BLOQ,Yes,No,14 - 14 days post-challenge,na,2 weeks,Yes,Mortality,na,apparently healthy oysters,OsHV-1 data & temperature data,Yes,
18,Effect of water temperature on mortality of Pacific oysters Crassostrea gigas associated with microvariant ostreid herpesvirus 1 (OsHV-1 µVar),de Kantzow,2016,http://www.int-res.com/abstracts/aei/v8/p419-428/,University of Sydney,na,Yes,Yes,Yes,injection,viral copies,BLOQ - 1.20 x 10^3,Yes,No,18 - 7 days post-challenge,na,2 weeks,Yes,Mortality,na,apparently healthy oysters,OsHV-1 data & temperature data,Yes,
18,Effect of water temperature on mortality of Pacific oysters Crassostrea gigas associated with microvariant ostreid herpesvirus 1 (OsHV-1 µVar),de Kantzow,2016,http://www.int-res.com/abstracts/aei/v8/p419-428/,University of Sydney,na,Yes,Yes,Yes,injection,viral copies,0 - 3.39 x 10^2,Yes,No,18 - 14 days post-challenge,na,2 weeks,Yes,Mortality,na,apparently healthy oysters,OsHV-1 data & temperature data,Yes,
18,Effect of water temperature on mortality of Pacific oysters Crassostrea gigas associated with microvariant ostreid herpesvirus 1 (OsHV-1 µVar),de Kantzow,2016,http://www.int-res.com/abstracts/aei/v8/p419-428/,University of Sydney,na,Yes,Yes,Yes,injection,viral copies,na,Yes,No,22 - 7 days post-challenge,na,2 weeks,Yes,Mortality,na,apparently healthy oysters,OsHV-1 data & temperature data,Yes,
18,Effect of water temperature on mortality of Pacific oysters Crassostrea gigas associated with microvariant ostreid herpesvirus 1 (OsHV-1 µVar),de Kantzow,2016,http://www.int-res.com/abstracts/aei/v8/p419-428/,University of Sydney,na,Yes,Yes,Yes,injection,viral copies,1.26 x 10^3,Yes,No,22 - 14 days post-challenge,na,2 weeks,Yes,Mortality,na,apparently healthy oysters,OsHV-1 data & temperature data,Yes,
18,Effect of water temperature on mortality of Pacific oysters Crassostrea gigas associated with microvariant ostreid herpesvirus 1 (OsHV-1 µVar),de Kantzow,2016,http://www.int-res.com/abstracts/aei/v8/p419-428/,University of Sydney,na,Yes,Yes,Yes,injection,viral copies,na,Yes,No,26 - 7 days post-challenge,na,2 weeks,Yes,Mortality,na,apparently healthy oysters,OsHV-1 data & temperature data,Yes,
18,Effect of water temperature on mortality of Pacific oysters Crassostrea gigas associated with microvariant ostreid herpesvirus 1 (OsHV-1 µVar),de Kantzow,2016,http://www.int-res.com/abstracts/aei/v8/p419-428/,University of Sydney,na,Yes,Yes,Yes,injection,viral copies,BLOQ,Yes,No,26 - 14 days post-challenge,na,2 weeks,Yes,Mortality,na,apparently healthy oysters,OsHV-1 data & temperature data,Yes,
18,Effect of water temperature on mortality of Pacific oysters Crassostrea gigas associated with microvariant ostreid herpesvirus 1 (OsHV-1 µVar),de Kantzow,2016,http://www.int-res.com/abstracts/aei/v8/p419-428/,University of Sydney,na,Yes,Yes,Yes,injection,viral copies,0,Yes,No,14,na,2 weeks,Yes,Mortality,na,dead oysters,"OsHV-1 data, mortality data & temperature data",Yes,
18,Effect of water temperature on mortality of Pacific oysters Crassostrea gigas associated with microvariant ostreid herpesvirus 1 (OsHV-1 µVar),de Kantzow,2016,http://www.int-res.com/abstracts/aei/v8/p419-428/,University of Sydney,na,Yes,Yes,Yes,injection,viral copies,1.12 x 10^2 - 7.08 x 10^4,Yes,No,18,na,2 weeks,Yes,Mortality,na,dead oysters,OsHV-1 data & temperature data,Yes,
18,Effect of water temperature on mortality of Pacific oysters Crassostrea gigas associated with microvariant ostreid herpesvirus 1 (OsHV-1 µVar),de Kantzow,2016,http://www.int-res.com/abstracts/aei/v8/p419-428/,University of Sydney,na,Yes,Yes,Yes,injection,viral copies,6.17 x 10^1 x 6.76 x 10^5,Yes,No,22,na,2 weeks,Yes,Mortality,na,dead oysters,OsHV-1 data & temperature data,Yes,
18,Effect of water temperature on mortality of Pacific oysters Crassostrea gigas associated with microvariant ostreid herpesvirus 1 (OsHV-1 µVar),de Kantzow,2016,http://www.int-res.com/abstracts/aei/v8/p419-428/,University of Sydney,na,Yes,Yes,Yes,injection,viral copies,5.37 x 10^2,Yes,No,26,na,2 weeks,Yes,Mortality,na,dead oysters,OsHV-1 data & temperature data,Yes,
19,Effects of Environmental Factors and Husbandry Practices on Summer Mortality Events in the Cultivated Pacific Oyster Crassostrea gigas in the North of Ireland,Aston,2020,https://bioone.org/journals/journal-of-shellfish-research/volume-39/issue-1/035.039.0102/Effects-of-Environmental-Factors-and-Husbandry-Practices-on-Summer-Mortality/10.2983/035.039.0102.full,"Sambaqui Beach, Brazil","December 2010 - December 2011 (March - August, June - December) ",Yes,No,na,na,na,na,Yes,Yes,16.61 - 26.86 (means),na,1 year,Yes,Moratlity,1.83% ± 2.58% to 53.17% ± 5.02% ,farming phase,na,No,
20,"Effects of Seeding Date and Seed Size on Crassostrea gigas (Thunberg, 1793) Culture in a Subtropical Climate",Sühnel,2017,https://bioone.org/journals/journal-of-shellfish-research/volume-36/issue-2/035.036.0202/Effects-of-Seeding-Date-and-Seed-Size-on-Crassostrea-gigas/10.2983/035.036.0202.full,"Lough Foyle, North of Ireland","May-August in 2012, 2013, 2014",Yes,Yes,Yes,in situ,positive v negative,2/4 pools tested positive,Yes,Yes,< 10 to > 25,"3 months per year, 3 years",,Yes,Mortality,13 - 42%,"stocking density, shore position, bag turning",Temperature / OsHV-1 data,Yes,
