Year_Sampled,Species,OsHV_var,Paper,Title
1999,Crassostrea angulata,OsHV-1,Arzul et al. 2001,Experimental herpes-like viral infections in marine bivalves: demonstration of interspecies transmission
1999,Magallana gigas,OsHV-1,Arzul et al. 2001,Experimental herpes-like viral infections in marine bivalves: demonstration of interspecies transmission
1999,Ostrea edulis,OsHV-1,Arzul et al. 2001,Experimental herpes-like viral infections in marine bivalves: demonstration of interspecies transmission
1999,Magallana gigas,OsHV-1,Renault & Arzul 2001,Herpes-like virus infections in hatchery-reared bivalve larvae in Europe: speci®c viral DNA detection by PCR
1999,Ruditapes decussatus,OsHV-1,Renault & Arzul 2001,Herpes-like virus infections in hatchery-reared bivalve larvae in Europe: speci®c viral DNA detection by PCR
1999,Ruditapes phillipinarum,OsHV-1,Renault & Arzul 2001,Herpes-like virus infections in hatchery-reared bivalve larvae in Europe: speci®c viral DNA detection by PCR
1999,Magallana gigas,OsHV-1 μVar,Garcia et al. 2011,Ostreid herpesvirus 1 detection and relationship with Crassostrea gigas spat mortality in France between 1998 and 2006
1999,Magallana gigas,OsHV-1 μVar,Keeling et al. 2014,New Zealand juvenile oyster mortality associated with ostreid herpesvirus 1—an opportunistic longitudinal study
2000,Magallana gigas,OsHV-1,Arzul et al. 2001,Evidence for interspecies transmission of oyster herpesvirus in marine bivalves
2000,Ostrea edulis,OsHV-1,Arzul et al. 2001,Evidence for interspecies transmission of oyster herpesvirus in marine bivalves
2000,Pecten maximus,OsHV-1,Arzul et al. 2001,French Scallops: A New Host for Ostreid Herpesvirus-1
2000,Crassostrea angulata,OsHV-1,Arzul et al. 2001,Experimental herpes-like viral infections in marine bivalves: demonstration of interspecies transmission
2000,Magallana gigas,OsHV-1,Arzul et al. 2001,Experimental herpes-like viral infections in marine bivalves: demonstration of interspecies transmission
2000,Ostrea edulis,OsHV-1,Arzul et al. 2001,Experimental herpes-like viral infections in marine bivalves: demonstration of interspecies transmission
2000,Magallana gigas,OsHV-1,Renault & Arzul 2001,Herpes-like virus infections in hatchery-reared bivalve larvae in Europe: speci®c viral DNA detection by PCR
2000,Ruditapes decussatus,OsHV-1,Renault & Arzul 2001,Herpes-like virus infections in hatchery-reared bivalve larvae in Europe: speci®c viral DNA detection by PCR
2000,Ruditapes phillipinarum,OsHV-1,Renault & Arzul 2001,Herpes-like virus infections in hatchery-reared bivalve larvae in Europe: speci®c viral DNA detection by PCR
2000,Magallana gigas,OsHV-1 μVar,Garcia et al. 2011,Ostreid herpesvirus 1 detection and relationship with Crassostrea gigas spat mortality in France between 1998 and 2006
2000,Magallana gigas,OsHV-1,Arzul et al. 2002,Detection of oyster herpesvirus DNA and proteins in asymptomatic Crassostrea gigas adults
2000,Magallana gigas,OsHV-1 μVar,Vásquez-Yeomans et al. 2010,"Gill erosion and herpesvirus in Crassostrea gigas cultured in Baja California, Mexico
"
2001,Chlamys farreri,OsHV-1,Bai et al. 2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China
