Study_numb,Paper,LeadAuthor,Year_Published,Title,URL,Location,Country,GPS_coordinates_extracted,GPS_Google,GPS_data,GPS_lat,GPS_long,Species,Common name,Taxa,OsHV_var,Year_Sampled,Field_Lab,Search_Strategy,Notes,GenBank Sequence
1,Arzul et al. 2001,Arzul,2001,Evidence for interspecies transmission of oyster herpesvirus in marine bivalves,https://www.microbiologyresearch.org/content/journal/jgv/10.1099/0022-1317-82-4-865,Normandy,France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Magallana gigas,,Pacific Oyster,OsHV-1,1997,Field,Snowball,,
1,Arzul et al. 2001,Arzul,2001,Evidence for interspecies transmission of oyster herpesvirus in marine bivalves,https://www.microbiologyresearch.org/content/journal/jgv/10.1099/0022-1317-82-4-865,Vendée,France,NA,"46.832531, -2.150655","46.832531, -2.150655",46.832531,-2.150655,Magallana gigas,,Pacific Oyster,OsHV-1,1995,Field,Snowball,,
1,Arzul et al. 2001,Arzul,2001,Evidence for interspecies transmission of oyster herpesvirus in marine bivalves,https://www.microbiologyresearch.org/content/journal/jgv/10.1099/0022-1317-82-4-865,Vendée,France,NA,"46.832531, -2.150655","46.832531, -2.150655",46.832531,-2.150655,Magallana gigas,,Pacific Oyster,OsHV-1,2000,Field,Snowball,,
1,Arzul et al. 2001,Arzul,2001,Evidence for interspecies transmission of oyster herpesvirus in marine bivalves,https://www.microbiologyresearch.org/content/journal/jgv/10.1099/0022-1317-82-4-865,Charente-Maritime,France,NA,"45.948768, -1.094332","45.948768, -1.094332",45.948768,-1.094332,Magallana gigas,,Pacific Oyster,OsHV-1,1997,Field,Snowball,,
1,Arzul et al. 2001,Arzul,2001,Evidence for interspecies transmission of oyster herpesvirus in marine bivalves,https://www.microbiologyresearch.org/content/journal/jgv/10.1099/0022-1317-82-4-865,Normandy,France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Ostrea edulis,,Other Oyster,OsHV-1,1997,Field,Snowball,,
1,Arzul et al. 2001,Arzul,2001,Evidence for interspecies transmission of oyster herpesvirus in marine bivalves,https://www.microbiologyresearch.org/content/journal/jgv/10.1099/0022-1317-82-4-865,Charente-Maritime,France,NA,"45.948768, -1.094332","45.948768, -1.094332",45.948768,-1.094332,Ostrea edulis,,Other Oyster,OsHV-1,2000,Field,Snowball,,
1,Arzul et al. 2001,Arzul,2001,Evidence for interspecies transmission of oyster herpesvirus in marine bivalves,https://www.microbiologyresearch.org/content/journal/jgv/10.1099/0022-1317-82-4-865,Normandy,France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Ruditapes dessicatus,,Clam,OsHV-1,1998,Field,Snowball,,
1,Arzul et al. 2001,Arzul,2001,Evidence for interspecies transmission of oyster herpesvirus in marine bivalves,https://www.microbiologyresearch.org/content/journal/jgv/10.1099/0022-1317-82-4-865,Normandy,France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Ruditapes phillipinarum,,Clam,OsHV-1,1997,Field,Snowball,,
2,Arzul et al. 2001,Arzul,2001,French Scallops: A New Host for Ostreid Herpesvirus-1,https://www.sciencedirect.com/science/article/pii/S0042682201911869?via%3Dihub,Breton (Brittany),France,NA,"48.431392, -4.759700","48.431392, -4.759700",48.431392,-4.7597,Pecten maximus,,Scallop,OsHV-1,2000,Field,Snowball,,
3,Bai et al. 2018,Bai,2018,Dual transcriptomic analysis of Ostreid herpesvirus 1 infected Scapharca broughtonii with an emphasis on viral anti-apoptosis activities and host oxidative bursts,https://www.sciencedirect.com/science/article/abs/pii/S1050464818305278?via%3Dihub,"Jimo, Qingdao, Shandong Province (imported from Korea)",China,NA,"36.460846, 120.948483","36.460846, 120.948483",36.460846,120.948483,Scapharca broughtonii,Ark Shell Blood Clam,Clam,OsHV-1,2014,Lab,Snowball,OsHV-1 SB?,
4,Bai et al. 2015,Bai,2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,"Changddao County, Shandong Province",China,NA,"38.184832, 120.762450
","38.184832, 120.762450
",38.184832,120.76245,Chlamys farreri,,Scallop,OsHV-1,2001,Field,Snowball,,
4,Bai et al. 2015,Bai,2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,"Changddao County, Shandong Province",China,NA,"38.184832, 120.762450
","38.184832, 120.762450
",38.184832,120.76245,Chlamys farreri,,Scallop,OsHV-1,2002,Field,Snowball,,
4,Bai et al. 2015,Bai,2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,"Changddao County, Shandong Province",China,NA,"38.184832, 120.762450
","38.184832, 120.762450
",38.184832,120.76245,Chlamys farreri,,Scallop,OsHV-1,2003,Field,Snowball,,
4,Bai et al. 2015,Bai,2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,"Changddao County, Shandong Province",China,NA,"38.184832, 120.762450
","38.184832, 120.762450
",38.184832,120.76245,Chlamys farreri,,Scallop,OsHV-1,2004,Field,Snowball,,
4,Bai et al. 2015,Bai,2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,"Changddao County, Shandong Province",China,NA,"38.184832, 120.762450
","38.184832, 120.762450
",38.184832,120.76245,Chlamys farreri,,Scallop,OsHV-1,2005,Field,Snowball,,
4,Bai et al. 2015,Bai,2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,"Changddao County, Shandong Province",China,NA,"38.184832, 120.762450
","38.184832, 120.762450
",38.184832,120.76245,Chlamys farreri,,Scallop,OsHV-1,2006,Field,Snowball,,
4,Bai et al. 2015,Bai,2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,"Changddao County, Shandong Province",China,NA,"38.184832, 120.762450
","38.184832, 120.762450
",38.184832,120.76245,Chlamys farreri,,Scallop,OsHV-1,2007,Field,Snowball,,
4,Bai et al. 2015,Bai,2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,"Changddao County, Shandong Province",China,NA,"38.184832, 120.762450
","38.184832, 120.762450
",38.184832,120.76245,Chlamys farreri,,Scallop,OsHV-1,2008,Field,Snowball,,
4,Bai et al. 2015,Bai,2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,"Changddao County, Shandong Province",China,NA,"38.184832, 120.762450
","38.184832, 120.762450
",38.184832,120.76245,Chlamys farreri,,Scallop,OsHV-1,2009,Field,Snowball,,
4,Bai et al. 2015,Bai,2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,"Changddao County, Shandong Province",China,NA,"38.184832, 120.762450
","38.184832, 120.762450
",38.184832,120.76245,Chlamys farreri,,Scallop,OsHV-1,2010,Field,Snowball,,
4,Bai et al. 2015,Bai,2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,"Changddao County, Shandong Province",China,NA,"38.184832, 120.762450
","38.184832, 120.762450
",38.184832,120.76245,Chlamys farreri,,Scallop,OsHV-1,2011,Field,Snowball,,
4,Bai et al. 2015,Bai,2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,"Changddao County, Shandong Province",China,NA,"38.184832, 120.762450
","38.184832, 120.762450
",38.184832,120.76245,Chlamys farreri,,Scallop,OsHV-1,2012,Field,Snowball,,
4,Bai et al. 2015,Bai,2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,"Changddao County, Shandong Province",China,NA,"38.184832, 120.762450
","38.184832, 120.762450
",38.184832,120.76245,Chlamys farreri,,Scallop,OsHV-1,2013,Field,Snowball,,
4,Bai et al. 2015,Bai,2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,"Changddao County, Shandong Province",China,NA,"38.184832, 120.762450
","38.184832, 120.762450
",38.184832,120.76245,Crassostrea hongkongensis,,Other Oyster,OsHV-1,2011,Field,Snowball,,
4,Bai et al. 2015,Bai,2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,"Changddao County, Shandong Province",China,NA,"38.184832, 120.762450
","38.184832, 120.762450
",38.184832,120.76245,Crassostrea hongkongensis,,Other Oyster,OsHV-1,2013,Field,Snowball,,
4,Bai et al. 2015,Bai,2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,"Changddao County, Shandong Province",China,NA,"38.184832, 120.762450
","38.184832, 120.762450
",38.184832,120.76245,Magallana gigas,,Pacific Oyster,OsHV-1,2013,Field,Snowball,,
